a;ö
aspire;öspAIr
aspired;öspAIrd
aspires;öspAIörz
aspirin;Äsprin
aspirin's;Äsprönz
aspiring;öspAIrin
asplund;Äsplönd
aspnes;Äspnez
asquith;Äskwit
ass;Äs
assad;ösÁd
assad's;ösÁdz
assaf;ösÄf
assail;ösEIl
assailant;ösEIlönt
assailant's;ösEIlönts
assailants;ösEIlönts
assailed;ösEIld
assailing;ösEIlin
assails;ösEIlz
assam;ÁsÁm
assante;asÁnti
assassin;ösÄsön
assassin's;ösÄsönz
assassinate;ösÄsönEIt
assassinated;ösÄsönEItöd
assassinating;ösÄsönEItin
assassination;ösÄsönEIšön
assassinations;ösÄsönEIšönz
assassins;ösÄsönz
assault;ösOlt
assaulted;ösOltid
assaulting;ösOltin
assaultive;ösOltiv
assaults;ösOlts
assay;Äsi
assayer;äsEIör
assed;Äst
asselin;Äsilin
asselstine;ÄsölstAIn
assemblage;ösEmblödž
assemblage(1);ösEmblidž
assemble;ösEmböl
assembled;ösEmböld
assembler;ösEmblör
assemblers;ösEmblörz
assembles;ösEmbölz
assemblies;ösEmbliz
assembling;ösEmbölin
assembling(1);ösEmblin
assembly;ösEmbli
assembly's;ösEmbliz
assemblyman;ösEmblimÄn
assemblyman(1);ösEmblimön
assemblymen;ösEmblimin
assemblywoman;ösEmbliwUmön
assent;ösEnt
assert;ösÖRt
asserted;ösÖRtöd
assertedly;ösÖRtidli
asserting;ösÖRtin
assertion;ösÖRšön
assertions;ösÖRšönz
assertive;ösÖRtiv
assertively;ösÖRtivli
assertiveness;ösÖRtivnös
asserts;ösÖRts
asses;Äsöz
assess;ösEs
assessed;ösEst
assesses;ösEsiz
assessing;ösEsin
assessment;ösEsmönt
assessments;ösEsmönts
assessor;ösEsör
assessors;ösEsörz
asset;ÄsEt
assets;ÄsEts
assets';Äsets
asshole;Äshoul
assholes;Äshoulz
assicurazioni;ösÍkörÄziOUni
assiduous;ösIdwös
assiduously;ösIdwösli
assign;ösAIn
assigned;ösAInd
assigning;ösAInin
assignment;ösAInmönt
assignment's;ösAInmönts
assignments;ösAInmönts
assigns;ösAInz
assimilate;ösImölEIt
assimilated;ösImölEItid
assimilating;ösImölEItin
assimilation;ösImölEIšön
assira;ösÍrö
assisi;ösÍsi
assisi's;ösÍsiz
assist;ösIst
assistance;ösIstöns
assistant;ösIstönt
assistants;ösIstönts
assisted;ösIstöd
assisted(1);ösIstid
assisting;ösIstin
assists;ösIsts
assocation;ÄsökEIšön
associate;ösOUsiöt
associate(1);ösOUsiEIt
associate(2);ösOUšiöt
associate(3);ösOUšiEIt
associate's;ösOUsiöts
associate's(1);ösOUšiöts
associated;ösOUsiEItöd
associated(1);ösOUšiEItöd
associates;ösOUsiöts
associates(1);ösOUsiEIts
associates(2);ösOUšiöts
associates(3);ösOUšiEIts
associates';ösOUšiöts
associates'(1);ösOUsiöts
associating;ösOUsiEItin
association;ösOUsiEIšön
association(1);ösOUšiEIšön
association's;ösOUšiEIšönz
associations;ösOUsiEIšönz
associations(1);ösOUšiEIšönz
associes;Äsösiz
assort;ösOrt
assorted;ösOrtid
assortment;ösOrtmönt
assuage;öswEIdž
assuaged;öswEIdžd
assubel;ÄsöbEl
assume;ösUm
assumed;ösUmd
assumes;ösUmz
assuming;ösUmin
assumption;ösAmpšön
assumptions;ösAmpšönz
assurance;öšUröns
assurances;öšUrönsiz
assurances(1);öšUröntsiz
assuras;öšUrös
assure;öšUr
assured;öšUrd
assuredly;öšUrödli
assures;öšUrz
assuring;öšUrin
assyria;ösIriö
assyrian;ösIriön
assyrians;ösIriönz
ast;Äst
asta;Ástö
astaire;östEr
aster;Ästör
asterisk;Ästörisk
asteroid;ÄstörOId
asteroid's;ÄstörOIdz
asteroids;ÄstörOIdz
asters;Ästörz
asthma;Äzmö
asthmatic;äzmÄtik
asthmatics;estmEtiks
astigmatism;östIgmötIzöm
astin;östIn
astle;Äsöl
astley;Ästli
aston;Ästön
astonish;östÁniš
astonished;östÁništ
astonishing;östÁnišin
astonishingly;östÁnišinli
astonishment;östÁnišmönt
astor;Ästör
astor's;Ästörz
astore;Ästor
astore(1);ästOri
astorga;astOrgö
astoria;ÄstOriö
astorino;astorÍnou
astound;östAUnd
astounded;östAUndid
astounding;östAUndin
astoundingly;östAUndinli
astounds;östAUndz
astra;Äströ
astra's;Äströz
astraddle;östrÄdöl
astrakhan;Äströkan
astral;Äströl
astray;östrEI
astred;Ästörd
astrid;Ästrid
astride;östrAId
astringent;östrIndžönt
astringents;östrIndžönts
astro;Ästrou
astrodome;ÄströdOUm
astrogeology;ÄströdžÍÁlödži
astrologer;östrÁlödžör
astrologers;östrÁlödžörz
astrological;ÄströlÁdžiköl
astrology;östrÁlödži
astronaut;ÄströnÁt
astronaut's;ÄströnÁts
astronautic;ÄströnÁtik
astronautical;ÄströnÁtiköl
astronautics;ÄströnÁtiks
astronauts;ÄströnOts
astronauts';ÄströnOts
astronomer;östrÁnömör
astronomers;östrÁnömörz
astronomical;ÄströnÁmiköl
astronomically;ÄströnÁmikli
astronomy;östrÁnömi
astrophotography;ÄstroufötÁgröfi
astrophysicist;ÄstroufIsisist
astrophysics;ÄstroufIziks
astros;Ästrous
astrotech;ÄstroutEk
astroturf;ÄstroutÖRf
astute;östUt
astutely;östUtli
astuteness;östUtnös
asuncion;ösAnšön
asunder;ösAndör
aswin;öswIn
asylum;ösAIlöm
asymmetrical;EIsömEtriköl
asymmetries;EIsImötriz
asymmetry;EIsImötri
asymptomatic;EIsImptömÄtik
asymptote;ÄsimptOUt
asymptotes;ÄsimptOUts
asymptotic;ÄsimptOtik
asynchronous;EIsInkrönös
at;Ät
at-bat;ÄtbÄt
at-bats;ÄtbÄts
ata;Átö
atacama;ÁtakÁma
atalanta;ÄtölÄntö
atalaya;atalEIö
atalia;atÁliö
atalie;Ätöli
atamian;ötEImiön
atari;ötÁri
atari's;ötÁriz
ataturk;ÄtötÖRk
ataturk's;ÄtötÖRks
atavism;Ätövizöm
atavistic;Ätövistik
ataxia;EItÄksiö
ataxia's;EItÄksiöz
atcheson;Äčisön
atchinson;Äčinsön
atchison;Äčisön
atchley;Äčli
atco;Ätkou
atcor;Ätkor
ate;EIt
atek;EItEk
aten;EItön
atencio;ötEnsiou
ater;EItör
ates;EIts
atha;Ätö
athalia;eitÄliö
athanas;eitÄnöz
athanassiou;ÁtönösÍu
athans;Ätönz
athas;EIdöz
athearn;EItörn
atheism;ötAIsöm
atheism(1);EItiIzöm
atheist;EItiöst
atheistic;EItiIstik
atheists;EItiösts
athena;ätÍnö
athenaeum;ÄtönÍöm
athenaios;ÄtönAIous
athene;ÄtÍn
atheneum;Ätönum
athenian;ätÍniön
athenians;ätÍniönz
athens;Ätönz
atherosclerosis;ÄtörousklörOUsis
atherton;Ätörtön
athey;Äti
athie;EIti
athlete;ÄtlÍt
athlete's;ÄtlÍts
athletes;ÄtlÍts
athletes';ÄtlÍts
athletic;ätlEtik
athletically;ätlEtikli
athleticism;ätlEtisIzm
athletics;ätlEtiks
athlone;ätlOUn
athwart;ötwOrt
atico;ÄtikOU
atienza;atÍnzö
atilano;atilÁnou
atither;ötIdör
atkerson;Ätkörsön
atkin;ötkIn
atkins;Ätkinz
atkins's;Ätkinziz
atkinson;Ätkönsön
atkinson(1);Ätkinsön
atkinson's;Ätkönsönz
atkinson's(1);Ätkinsönz
atkison;Ätkisön
atkisson;Ätkisön
atla;Ätlö
atlan;Ätlön
atlanta;ätlÄntö
atlanta's;ätlÄntöz
atlantan;ÄtlÄntön
atlantan(1);ÄtlÄnön
atlantans;ÄtlÄntönz
atlantans(1);ÄtlÄnönz
atlantic;ötlÄntik
atlantic's;ötlÄntiks
atlantica;ÄtlÄntikö
atlantico;ÄtlÄntikou
atlantis;ätlÄntis
atlantis(1);ätlÄnis
atlantis';ätlÄntis
atlantis'(1);ätlÄntisiz
atlantis's;ätlÄntisiz
atlas;Ätlös
atlas's;Ätlösiz
atlases;Ätlösiz
atler;Ätlör
atley;Ätli
atm;EItÍEm
atmel;Ätmöl
atmosphere;ÄtmösfIr
atmospheric;ÄtmösfErik
atmospherics;ÄtmösfEriks
atnip;Ätnip
atocha;ötÁčö
atoll;ÄtÁl
atoll(1);ÄtOl
atoll(2);ötOUl
atom;Ätöm
atomic;ötÁmik
atomizer;ÄtömAIzör
atoms;Ätömz
aton;ötÁn
atonal;eitOUnöl
atone;ötOUn
atonement;ötOUnmönt
atop;ötÁp
ator;Átor
atorino;ÄtörÍnou
atp;EItÍpÍ
atra;EItrö
atria;EItriö
atrium;EItriöm
atriums;EItriömz
atrocious;ötrOUšös
atrocities;ötrÁsötiz
atrocity;ötrÁsöti
atrophied;Ätröfid
atrophies;Ätröfiz
atrophy;Ätröfi
atsushi;atsUšÍ
atta;Ätö
attaboy;ÄtöbOI
attaboys;ÄtöbOIz
attach;ötÄč
attache;ÄtöšEI
attached;ötÄčt
attaches;ötÄčiz
attaching;ötÄčin
attachment;ötÄčmönt
attachments;ötÄčmönts
attack;ötÄk
attacked;ötÄkt
attacker;ötÄkör
attackers;ötÄkörz
attacking;ötÄkin
attacks;ötÄks
attain;ötEIn
attainable;ötEInöböl
attainder;ötEIndör
attained;ötEInd
attaining;ötEInin
attainment;ötEInmönt
attains;ötEInz
attali;ötÁli
attalla;ötÄlö
attanasio;atanÁsiou
attar;ÄtÁr
attard;ÄtÁrd
attardo;atÁrdou
attaway;ÄtawEI
atteberry;Ätberi
attebery;ötEböri
attebury;Ätberi
attempt;ötEmpt
attempted;ötEmptöd
attempting;ötEmptin
attempts;ötEmpts
attenborough;Ätanbörou
attend;ötEnd
attendance;ötEndöns
attendant;ötEndönt
attendant's;ötEndönts
attendants;ötEndönts
attendants';ötEndönts
attended;ötEndöd
attendee;ötEndÍ
attendees;ötEndÍz
attending;ötEndin
attends;ötEndz
attention;ötEnšön
attentions;ötEnšönz
attentive;ötEntiv
attentively;ötEntivli
attentiveness;ötEntivnös
attenuate;ötEnjuEIt
attenuated;ötEnjuEItid
attenuates;ötEnjuEIts
atterberry;Ätörberi
atterbury;ÄtörbEri
attermann;Ätörmön
attest;ötEst
attested;ötEstid
attesting;ötEstin
attests;ötEsts
attests(1);ötEs
attic;Ätik
attica;Ätikö
attics;Ätiks
atticus;Ätikös
attie;Äti
attila;ötIlö
attila's;ötIlöz
attire;ötAIör
attired;ötAIrd
attitude;ÄtötUd
attitudes;ÄtötUdz
attitudinal;ÄtötUdönöl
attkisson;Ätkisön
attleboro;Ätölbörou
attlee;Ätli
attorney;ötÖRni
attorney's;ötÖRniz
attorneys;ötÖRniz
attorneys';ötÖRniz
attract;ötrÄkt
attracted;ötrÄktöd
attracting;ötrÄktin
attraction;ötrÄkšön
attractions;ötrÄkšönz
attractive;ötrÄktiv
attractively;ötrÄktivli
attractiveness;ötrÄktivnös
attracts;ötrÄkts
attributable;ötrIbjötöböl
attribute;ötrIbjUt
attributed;ötrIbjötöd
attributes;ötrIbjUts
attributing;ötrIbjötin
attribution;ÄtribjUšön
attridge;ötrIdž
attrition;ötrIšön
attune;ötUn
attuned;ötUnd
attwood;ÄtwUd
attwoods;ÄtwUdz
atv;EItÍvÍ
atwater;Ätwotör
atwell;ötwEl
atwood;ÄtwUd
atworth;Ätwört
atx;EItÍEks
atypia;EItIpÍö
atypic;EItIpik
atypical;EItIpiköl
atz;Äts
au;OU
aube;Ob
aubel;AUböl
auber;Obör
auberry;ObEri
aubert;Obört
aubin;Obin
auble;Oböl
aubrey;Obri
aubry;Obri
aubuchon;OUböšan
auburn;Ábörn
auch;Oč
auchter;AUktör
auckland;Áklönd
auclair;ouklEr
aucoin;oukOIn
aucott;OkÁt
auction;Ákšön
auction(1);Okšön
auction's;Okšönz
auctioned;Okšönd
auctioneer;ÁkšönIr
auctioneering;OkšönIrin
auctioneers;OkšönIrz
auctioning;Okšönin
auctions;Ákšönz
auctions(1);Okšönz
aud;Od
audacious;adEIšös
audacity;adÄsöti
audas;oudÁz
auden;Odön
auderburn;Odörbörn
audet;oudEt
audette;oudEt
audi;Odi
audi(1);AUdi
audi's;Odiz
audi's(1);AUdiz
audia;Odiö
audible;Ádöböl
audibles;Ádöbölz
audibly;Ádöbli
audience;Ádiöns
audience(1);Odiöns
audience's;Ádiönsöz
audience's(1);Odiönsöz
audiences;Ádiönsöz
audiences(1);Odiönsöz
audino;OdÍnou
audio;ÁdiOU
audiophile;OdÍoufÍl
audiophiles;OdÍoufÍlz
audiotape;OdioutEIp
audiotapes;OdioutEIps
audiotex;OdioutEks
audiotronic;OdioutrÁnik
audiotronics;OdioutrÁniks
audiovisual;OdiouvIžuöl
audiovox;OdiouvÁks
audis;Odis
audis(1);AUdiz
audit;Odit
audited;Oditid
auditing;Ádötin
audition;adIšön
auditioned;OdIšönd
auditioning;adIšönin
auditions;OdIšönz
auditor;Oditör
auditor's;Oditörz
auditorium;OdötOriöm
auditoriums;OditOriömz
auditors;Ádötörz
auditors';Oditörz
auditory;OditOri
audits;Ádöts
audran;Odrön
audrey;Odri
audric;Odrik
audrie;Odöri
audris;oudrÍs
audry;Odri
audubon;Odöban
audwin;Odwin
aue;AU
auel;AUöl
auen;AUön
auer;AUör
auerbach;AUörbak
auerback;AUrbÄk
aufderheide;AUfdörhaid
aufhauser;OfhAUzör
aufiero;oufIrou
aug;Ogöst
augat;Ogät
auge;Odž
augello;odžElou
augenstein;AUgönstain
augenstein(1);AUgönstin
auger;Ogör
augers;Ogörz
aughenbaugh;oEnbo
aught;Ot
augment;ogmEnt
augmentable;agmEntöböl
augmentation;ÁgmentEIšön
augmented;agmEntöd
augmenting;OgmEntin
augsburg;Ogzbörg
augsburger;AUgzbörgör
augsburger(1);Ogzbörgör
augspurger;AUgspörgör
augspurger(1);Ogspörgör
augur;Ogör
auguring;Ogörin
augurs;Ogörz
august;Ágöst
august(1);Ogöst
august's;Ogösts
augusta;ögAstö
augusta's;ögAstöz
auguste;Ogöst
augustin;augustÍn
augustine;ÁgöstÍn
augustine(1);OgöstÍn
augustinian;ÁgöstIniön
augustinians;ÁgöstIniönz
augusto;OgAstou
augustson;Ogöstsön
augustson(1);Ogösön
augustus;agAstös
augustus(1);ögAstös
augustyn;augAstin
augustyniak;augöstIniäk
aujourd'hui;OUžordwÍ
aujourd'hui's;OUžordwÍz
auker;Okör
aukerman;AUkörmön
aul;Ol
aulana;AUlÁnö
aulander;OUländör
auld;Old
aulds;Oldz
auletta;olEtö
aull;Ol
ault;Olt
aultman;Oltmön
auman;Omön
aumann;Omön
aument;AUmönt
aumiller;AUmölör
aune;On
aung;On
aungst;AUngst
aunt;Änt
aunt(1);Ont
aunt's;Änts
aunt's(1);Onts
auntie;Änti
auntie(1);Onti
aunts;Änts
aunts(1);Onts
aunts';Änts
aunts'(1);Onts
aupperle;AUpörli
aura;Orö
aural;Oröl
aurand;Orönd
aurea;aurEIa
aurelio;aurEIliou
aureole;Árioul
auria;Oriö
aurich;AUrik
auriemma;orÍmö
aurora;örOrö
auroral;örOröl
aurum;Oröm
aus;AUz
ausbrooks;AUsbruks
ausburn;AUsbörn
auschwitz;Ošwits
auschwitz(1);AUšwits
ausherman;AUšörmön
ausimont;AUsimÁnt
auslander;AUslöndör
ausley;Osli
ausman;AUsmön
ausmus;AUsmis
auspey;AUspi
auspice;Ospis
auspices;Ospisiz
auspicious;aspIšös
aussie;Osi
aust;Ost
austad;AUstöd
austat;OUstät
austell;AUstöl
austen;Ostin
austen's;Ostinz
auster;Ostör
austere;ostIr
austerely;OstIrli
austerity;OstEriti
austill;AUstöl
austin;Ostön
austin's;Ostönz
austine;Ostin
auston;Ostön
austral;Oströl
australasia;OströlEIžö
australia;ostrEIljö
australia's;ostrEIljöz
australian;ostrEIljön
australians;ostrEIljönz
australopithecine;ostrEIloupItösAIn
australopithecus;ostrEIloupItökös
australs;Oströlz
austrasia;ostrEIžö
austria;Ostriö
austria's;Ostriöz
austrian;Ostriön
austrians;Ostriönz
austro;Ostrou
austroasiatic;OstrOUEIžiÄtik
austron;Oströn
auten;AUtön
autenrieth;AUtinriit
autenrieth(1);AUtinrit
autery;OUtöri
auth;Ot
authement;AUtmönt
authentic;ötEntik
authentic(1);otEntik
authentic(2);otEnik
authentic(3);ötEnik
authentically;OtEntikli
authentically(1);OtEnikli
authenticate;otEntökEIt
authenticated;otEntökEItöd
authenticating;otEntökEItin
authentication;otEntökEIšön
authentications;otEntökEIšönz
authenticity;OtöntIsiti
auther;Otör
authier;Otiör
author;Otör
author's;Otörz
authored;Otörd
authoring;Otörin
authoritarian;ötOrötEriön
authoritarianism;ötOrötEriönIzöm
authoritative;ötOrötEItiv
authoritatively;ötOrötEItivli
authorities;ötOrötiz
authorities';ötOritiz
authority;ötOröti
authority's;ötOritiz
authorization;OtörözEIšön
authorizations;OtörözEIšönz
authorize;OtörAIz
authorized;OtörAIzd
authorizes;OtörAIziz
authorizing;OtörAIzin
authors;Otörz
authors';Otörz
authorship;OtöršIp
autism;OtIzöm
autistic;otIstik
auto;Otou
auto's;Otouz
autobahn;OtoubÁn
autobiographer;OtöbaiÁgröför
autobiographical;OtöbAIögrÄfiköl
autobiographies;OtöbaiÁgröfiz
autobiography;OtöbaiÁgröfi
autobon;ÁtöbÁn
autobot;OtöbÁt
autobots;OtöbÁts
autoclave;OtouklEIv
autocracy;otÁkrösi
autocrat;OtökrÄt
autocratic;OtökrÄtik
autodesk;OtoudEsk
autodie;OtoudAI
autoeurope;OtoujUröp
autofact;OtoufÄkt
autofacts;OtoufÄkts
autograph;OtögrÄf
autographed;OtögrÄft
autographs;OtögrÄfs
autoimmune;OtOImjun
autolatina;OtOUlötÍnö
automaker;OtoumEIkör
automaker's;OtoumEIkörz
automakers;OtoumEIkörz
automakers';OtoumEIkörz
automap;OtoumÄp
automata;otÁmötö
automate;OtömEIt
automated;OtömEItid
automates;OtömEIts
automatic;OtömÄtik
automatic(1);OtoumÄtik
automatically;OtömÄtikli
automatically(1);OtoumÄtikli
automatics;OtömÄtiks
automating;OtömEItin
automation;otömEIšön
automatix;OtoumEItiks
automaton;otÁmötÁn
automobile;OtömoubÍl
automobile(1);OtömoubÍl
automobiles;OtömoubÍlz
automobiles(1);OtömoubÍlz
automobili;OtoumoubÍli
automotive;OtömOUtiv
automotive's;OtömOUtivz
automoviles;OtoumouvÍlez
auton;Otön
autonomic;OtönÁmik
autonomous;otÁnömös
autonomously;OtÁnoumösli
autonomy;otÁnömi
autonomy(1);ötÁnömi
autopacific;OtoupösIfik
autopart;OtoupÁrt
autoparts;OtoupÁrts
autopilot;OtoupAIlöt
autopsied;OtÁpsid
autopsies;OtÁpsiz
autopsy;OtÁpsi
autorad;OtourÄd
autoradiograph;atourEIdiougräf
autorads;OtourÄdz
autos;Otouz
autospa;OtOUspö
autotote;OtoutOUt
autotrophic;OtötrOUfik
autoworker;Otouwörkör
autoworkers;Otouwörkörz
autrey;Otri
autry;Otri
autumn;Otöm
autumn's;Otömz
autumnal;otAmnöl
auvil;ouvIl
aux;OU
auxier;Oksiör
auxiliary;agzIljöri
auxiliary(1);agzIlieri
auxton;Okstön
auyeung;AUjUn
auzenne;Ozin
av;EIvÍ
ava;EIvö
avail;övEIl
availabilities;övEIlöbIlitiz
availability;övEIlöbIlöti
availability(1);övEIlöbIliti
available;övEIlöböl
availed;övEIld
avakian;övEIkiön
avalanche;ÄvölÄnč
avalanches;ÄvölÄnčiz
avallone;ÄvölOUn
avalon;ÄvölÁn
avalon's;ÄvölÁnz
avalos;avÁlouz
avana;övÄnö
avana's;övÄnöz
avanex;Ávöneks
avant;övÁnt
avant-garde;övÁntgÁrd
avant-garde(1);övÁngÁrd
avantek;övÁntek
avanti;övÁnti
avants;avOnts
avarice;Ävörös
avasso;övÁsOU
avatar;ÄvötÁr
avatars;ÄvötÁrz
avco;Ävkou
avdel;ÄvdEl
ave;ÁvEI
avedisian;ävidIžin
avedon;Ävedan
avelar;aveilÁr
aveline;avelÍni
avella;övElö
avellino;ÄvölÍnou
avellino's;ÄvölÍnouz
avemco;övEmkou
avemco's;övEmkouz
aven;avEIn
avena;avEInö
avenall;aveinÁl
avendano;avendÁnou
avenel;aveinEl
avenell;aveinEIl
avenge;övEndž
avenged;övEndžd
avenger;övEndžör
avenging;övEndžin
aveni;avEni
avent;Ávönt
aventura;ÄventUrÁ
avenue;ÄvönU
avenue's;ÄvönUz
avenues;ÄvönUz
aver;EIvör
avera;avErö
average;Ävöridž
average(1);Ävridž
average's;Ävridžiz
averaged;Ävridžd
averages;Ävridžiz
averaging;Ävridžin
averbeck;EIvörbEk
averell;ÄverEl
averett;ÄverEt
averette;ÄvörEt
averil;EIvöril
averil(1);EIvril
averill;averÍl
averitt;Ävörit
averof;ÄvörÁf
avers;EIvörz
aversa;avErsö
aversano;avörsÁnou
averse;övÖRs
aversion;övÖRžön
aversions;övÖRžönz
aversive;övÖRsöv
avert;övÖRt
averted;övÖRtöd
averting;övÖRtin
averts;övÖRts
avery;EIvöri
avery's;EIvöriz
averyl;Ävöril
avey;EIvi
avi;Ávi
avi(1);EIvi
avia;Áviö
aviacion;EIviEIšön
aviall;EIviöl
avian;EIviön
aviano;ÁviÁnou
aviano's;ÁviÁnouz
aviaries;EIviEriz
aviary;EIviEri
aviation;EIviEIšön
aviation's;EIviEIšönz
aviator;EIviEItör
aviators;EIvieitörz
aviazione;ÄviÄziOUni
avice;Ávais
avid;Ävid
avidly;Ävödli
avignon;ÄvinjOn
avila;övIlö
aviles;avÍles
avilez;avÍlez
avilla;övIlö
avina;avÍnö
avinger;EIvinör
avionic;EIviÁnik
avionics;EIviÁniks
avions;EIviönz
avis;EIvis
avitabile;avitÁböl
avital;övÍtöl
avitia;avÍšö
aviv;avÍv
aviv's;avÍvz
avmark;ÄvmÁrk
avner;Ävnör
avnet;ÄvnEt
avocado;ÄvökÁdou
avocados;ÄvökÁdouz
avocation;ÄvökEIšön
avocet;ÄvösEt
avodon;Ävödan
avoid;övOId
avoidable;övOIdöböl
avoidance;övOIdöns
avoided;övOIdid
avoiding;övOIdin
avoids;övOIdz
avolio;övOUliou
avon;EIvan
avon's;Ävönz
avondale;ÄvöndEIl
avow;övAU
avowed;övAUd
avowedly;övAUödli
avraham;EIvröhäm
avraham(1);Ávröham
avram;EIvröm
avrett;Ävret
avril;Ävril
avril(1);EIvröl
avrim;avrÍm
avtex;ÄvtEks
avtex's;ÄvtEksiz
avtovaz;ÄvtOUvÄz
avuncular;övAnkjölör
aw;O
awacs;EIwÄks
awad;öwÁd
await;öwEIt
awaited;öwEItid
awaiting;öwEItin
awaits;öwEIts
awake;öwEIk
awaken;öwEIkön
awakened;öwEIkönd
awakening;öwEIkönin
awakens;öwEIkönz
awalt;Ávölt
awan;EIwön
award;öwOrd
awarded;öwOrdid
awarding;öwOrdin
awards;öwOrdz
aware;öwEr
awareness;öwErnös
awash;öwÁš
away;öwEI
aways;EIwEIz
awb;AUb
awb(1);EIdAböljUbÍ
awb(2);EIdAböjUbÍ
awbrey;Obri
awe;Á
awe(1);O
awed;Od
aweida;öwEIdö
aweida(1);öwAIdö
awesome;Osöm
awesomely;Ásömli
awesomely(1);Osömli
awestruck;Ástrak
awful;Oföl
awfully;Oföli
awfulness;Ofölnös
awhile;öwAIl
awkward;Okwörd
awkwardly;Okwördli
awkwardness;Okwördnös
awning;Ánin
awoke;öwOUk
awol;EIwOl
awry;örAI
awtrey;Otri
ax;Äks
axa;Äksö
axa's;Äksöz
axe;Äks
axed;Äkst
axel;Äksöl
axelrad;äksElröd
axelrod;ÄksölrÁd
axelsen;äksElsön
axelson;Äksilsön
axes;ÄksIz
axes(1);ÄksÍz
axford;äksfOrd
axial;Äksiöl
axid;Äksid
axilrod;ÄksilrÁd
axiom;Äksiöm
axiomatic;ÄksiömÄtik
axioms;Äksiömz
axis;Äksös
axle;Äksöl
axles;Äksölz
axley;Äksli
axline;ÄkslAIn
axlon;Äkslan
axon;ÄksÁn
axons;ÄksÁnz
axsom;Äksöm
axt;Äkst
axtell;äkstEl
axtman;Äkstmön
axton;Äkstön
ay;EI
ay(1);AI
ayacucho;AIökAčou
ayako;öjÁkou
ayala;öjÁlö
ayars;EIörz
ayatollah;AIötOUlö
ayatollah's;AIötOUlöz
ayatollahs;AIötÁlaz
aybar;EIbör
aycock;EIkök
aydar;AIdÁr
aydar(1);EIdÁr
aydelott;EIdilat
aydelotte;EIdölÁt
aydin;EIdin
aydt;EIt
aye;AI
ayende;öjEndi
ayende(1);öjEndei
ayer;AIör
ayer(1);EIör
ayer's;Erz
ayer's(1);EIrz
ayers;AIörz
ayers(1);EIörz
ayerst;EIörst
ayerst(1);Eröst
ayes;AIz
aygen;AIgön
aygen(1);EIgön
aykroyd;EIkrOId
aykroyd(1);AIkrOId
ayler;EIlör
ayles;EIlz
aylesworth;EIlzwört
aylesworth(1);EIölzwört
ayling;EIlin
aylmer;EIlmör
aylor;EIlör
aylsworth;EIlswört
aylward;EIlwörd
aylwin;EIlwin
aylwin(1);AIlwIn
aylworth;EIlwört
aymond;EImönd
ayn;EIn
aynes;EInz
ayo;EIou
ayodhya;AIÁdjö
ayon;eiOn
ayotte;eiOt
ayoub;EIaub
ayr;EIr
ayre;Er
ayres;Erz
ayrshire;EIöršAIör
ayrshire(1);EIöršör
ayscue;EIskju
aytes;EIts
ayuso;aiUsou
ayyad;AIÁd
ayyad(1);AIÄd
ayyad's;AIÁdz
ayyad's(1);AIÄdz
ayyash;AIjÄš
azactam;özÄktäm
azalea;özEIljö
azaleas;özEIljöz
azalia;azÁliö
azar;azÁr
azarow;Äzörou
azbell;Äzbel
azbill;azbÍl
azcarraga;äzkÁrÁgö
azcona;äzkOUnö
azcuenaga;äzkwEInÁgö
azelia;azEliö
azerbaijan;ÁzörbaidžÁn
azerbaijan(1);ÄzörbaidžÁn
azerbaijan's;ÁzörbaidžÁnz
azerbaijan's(1);ÄzörbaidžÁnz
azerbaijani;ÁzörbaidžÁni
azerbaijani(1);ÄzörbaidžÁni
azerbaijanis;ÁzörbaidžÁniz
azerbaijanis(1);ÄzörbaidžÁniz
azeri;özEri
azevedo;azeivEIdou
azhar;özÁr
azhar's;özÁrz
azides;ÄzAIdz
azidothymidine;özIdötAImödÍn
azidothymidine(1);özIdötAImödAIn
azidothymidine(2);eizAIdötAImödÍn
azidothymidine(3);eizAIdötAImödAIn
azinger;EIzinör
aziz;özÍz
azmeer;ÄzmIr
azoff;Äzof
azores;özOrz
azpurua;äzpjUruö
aztar;Äztör
aztec;ÄztEk
azteca;ÄztEkö
aztecs;ÄztEks
azuka;özUkö
azura;özUrö
azure;Äžör
azzara;atsÁrö
azzarello;atsarElou
azzaro;atsÁrou
azzato;özÁtou
azzopardi;atsoupÁrdi
b;bÍ
b'gosh;baigOš
b'nai;bönEI
b'rith;brIt
b's;bÍz
b-j;bÍdžEI
b-j's;bÍdžEIz
b.;bÍ
b.'s;bÍz
b.s;bÍz
ba;bÍEI
ba(1);bÁ
ba'ath;bÁt
ba'ath(1);bÁat
ba'athism;bÁtizm
ba'athist;bÁtist
ba'athists;bÁtists
baa;bÍEIEI
baab;bÁb
baack;bÁk
baade;bÁd
baalbek;bÁlbek
baalbeq;bÁlbek
baar;bÁr
baars;bÁrz
baas;bÁz
baasch;bÁš
baatz;bÁts
bab;bÄb
baba;bAbö
baba(1);bÁbö
baba's;bAböz
baba's(1);bÁböz
babangida;böbÁngidö
babangida(1);böbÄngidö
babar;bÁbÁr
babar's;bÁbÁrz
babb;bÄb
babbage;bÄbidž
babbage's;bÄbidžiz
babbington;bÄbingtön
babbio;bÄbiou
babbit;bÄbit
babbit's;bÄbits
babbitt;bÄbit
babbitt's;bÄbits
babbitts;bÄbits
babble;bÄböl
babbled;bÄböld
babbler;bÄblör
